ticker_yahoo,ticker_original,security,sector,sub_industry
A,A,Agilent Technologies,Health Care,Life Sciences Tools & Services
AAPL,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
ABBV,ABBV,AbbVie,Health Care,Biotechnology
ABNB,ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
ABT,ABT,Abbott Laboratories,Health Care,Health Care Equipment
ACGL,ACGL,Arch Capital Group,Financials,Property & Casualty Insurance
ACN,ACN,Accenture,Information Technology,IT Consulting & Other Services
ADBE,ADBE,Adobe Inc.,Information Technology,Application Software
ADI,ADI,Analog Devices,Information Technology,Semiconductors
ADM,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services
ADP,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services
ADSK,ADSK,Autodesk,Information Technology,Application Software
AEE,AEE,Ameren,Utilities,Multi-Utilities
AEP,AEP,American Electric Power,Utilities,Electric Utilities
AES,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders
AFL,AFL,Aflac,Financials,Life & Health Insurance
AIG,AIG,American International Group,Financials,Multi-line Insurance
AIZ,AIZ,Assurant,Financials,Multi-line Insurance
AJG,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers
AKAM,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure
ALB,ALB,Albemarle Corporation,Materials,Specialty Chemicals
ALGN,ALGN,Align Technology,Health Care,Health Care Supplies
ALL,ALL,Allstate,Financials,Property & Casualty Insurance
ALLE,ALLE,Allegion,Industrials,Building Products
AMAT,AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment
AMCR,AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials
AMD,AMD,Advanced Micro Devices,Information Technology,Semiconductors
AME,AME,Ametek,Industrials,Electrical Components & Equipment
AMGN,AMGN,Amgen,Health Care,Biotechnology
AMP,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks
AMT,AMT,American Tower,Real Estate,Telecom Tower REITs
AMZN,AMZN,Amazon,Consumer Discretionary,Broadline Retail
ANET,ANET,Arista Networks,Information Technology,Communications Equipment
AON,AON,Aon plc,Financials,Insurance Brokers
AOS,AOS,A. O. Smith,Industrials,Building Products
APA,APA,APA Corporation,Energy,Oil & Gas Exploration & Production
APD,APD,Air Products,Materials,Industrial Gases
APH,APH,Amphenol,Information Technology,Electronic Components
APO,APO,Apollo Global Management,Financials,Asset Management & Custody Banks
APP,APP,AppLovin,Information Technology,Application Software
APTV,APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment
ARE,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs
ARES,ARES,Ares Management,Financials,Asset Management & Custody Banks
ATO,ATO,Atmos Energy,Utilities,Gas Utilities
AVB,AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs
AVGO,AVGO,Broadcom,Information Technology,Semiconductors
AVY,AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials
AWK,AWK,American Water Works,Utilities,Water Utilities
AXON,AXON,Axon Enterprise,Industrials,Aerospace & Defense
AXP,AXP,American Express,Financials,Consumer Finance
AZO,AZO,AutoZone,Consumer Discretionary,Automotive Retail
BA,BA,Boeing,Industrials,Aerospace & Defense
BAC,BAC,Bank of America,Financials,Diversified Banks
BALL,BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers"
BAX,BAX,Baxter International,Health Care,Health Care Equipment
BBY,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail
BDX,BDX,Becton Dickinson,Health Care,Health Care Equipment
BEN,BEN,Franklin Resources,Financials,Asset Management & Custody Banks
BF-B,BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners
BG,BG,Bunge Global,Consumer Staples,Agricultural Products & Services
BIIB,BIIB,Biogen,Health Care,Biotechnology
BK,BK,BNY Mellon,Financials,Asset Management & Custody Banks
BKNG,BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
BKR,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services
BLDR,BLDR,Builders FirstSource,Industrials,Building Products
BLK,BLK,BlackRock,Financials,Asset Management & Custody Banks
BMY,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals
BR,BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services
BRK-B,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings
BRO,BRO,Brown & Brown,Financials,Insurance Brokers
BSX,BSX,Boston Scientific,Health Care,Health Care Equipment
BX,BX,Blackstone Inc.,Financials,Asset Management & Custody Banks
BXP,BXP,"BXP, Inc.",Real Estate,Office REITs
C,C,Citigroup,Financials,Diversified Banks
CAG,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats
CAH,CAH,Cardinal Health,Health Care,Health Care Distributors
CARR,CARR,Carrier Global,Industrials,Building Products
CAT,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment
CB,CB,Chubb Limited,Financials,Property & Casualty Insurance
CBOE,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data
CBRE,CBRE,CBRE Group,Real Estate,Real Estate Services
CCI,CCI,Crown Castle,Real Estate,Telecom Tower REITs
CCL,CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CDNS,CDNS,Cadence Design Systems,Information Technology,Application Software
CDW,CDW,CDW Corporation,Information Technology,Technology Distributors
