sector,week_ending,rank,ticker,direction,strength,raw_score,volume_date,dollar_vol_latest,latest_volume,dollar_vol_week,weekly_return,vol_ratio,currentPrice,priceDate,previousClose,previousCloseDate,closeChange,closeChangePct,closeDirection,marketCap,trailingPE,forwardPE,priceToBook,pegRatio,profitMargins,operatingMargins,grossMargins,returnOnEquity,returnOnAssets,revenueGrowth,earningsGrowth,totalDebt,debtToEquity,currentRatio,quickRatio,dividendYield,payoutRatio,fiveYearAvgDividendYield,beta,fiftyTwoWeekLow,fiftyTwoWeekHigh,shortName,industry,currency,exchange,longBusinessSummary,asof_utc,return_7d
Communication Services,2026-09-16,1,META,Bullish,34,0.34139150474109664,2026-09-16,11560415529.072205,17169529.0,62342184491.62103,0.04489585719073097,1.1058503435605176,673.3099975585938,2026-09-16,670.239990234375,2026-09-15,3.07000732421875,0.0045804597889559,up,1695620005888.0,25.050808,19.039085,6.4923916,0.86,0.29834998,0.34827,0.81747,0.29848,0.14591,0.28,-0.134,112317997056.0,42.997,2.226,1.987,0.32,0.0791,,1.243,520.26,790.8,"Meta Platforms, Inc.",Internet Content & Information,USD,NMS,"Meta Platforms, Inc. engages in the development of products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality (VR) headsets, and AI glasses in the United States, Canada, Europe, Asia-Pacific, and internationally. It operates through two segments, Family of Apps (FoA) and Reality Labs (RL). The FoA segment offers Facebook, which enables people to build community through feed, reels, stories, groups, marketplace, and other; Instagram that brings people closer through Instagram feed, stories, reels, live, and messaging; Messenger, a messaging application for people to connect with friends, family, communities, and businesses across platforms and devices through text, audio, and video calls; Meta AI, an assistant that's available across apps, as a stand-alone app, on AI glasses, and on the web; Threads, an application for text-based updates and public conversations; and WhatsApp, a messaging application that is used by people and businesses to communicate and transact. The RL segment provides virtual and augmented reality products, including consumer hardware, software, and content that help people feel connected, as well as Meta Quest devices that enable social experiences across gaming, fitness, entertainment, and more. The segment also includes wearables such as AI glasses like Ray Ban Meta and Oakley Meta glasses; and the Meta Ray Ban Display, which combines AI glasses with an integrated lens display and the Meta Neural Band, a wrist worn device using electromyography that lets people control their AI glasses through neuromuscular signals. Meta Platforms, Inc. has a collaboration with Microsoft Corporation, NVIDIA Corporation, Advanced Micro Devices, Inc., Broadcom Inc., and OpenAI, L.L.C. The company was formerly known as Facebook, Inc. and changed its name to Meta Platforms, Inc. in October 2021. The company was incorporated in 2004 and is headquartered in Menlo Park, California.",2026-09-14T23:06:38.655164+00:00,0.09167108685067826
Communication Services,2026-09-16,2,GOOGL,Bullish,34,0.34139150474109664,2026-09-16,6468359033.684082,18865340.0,42777293388.341064,0.03087789785089634,0.8945090499389418,342.8699951171875,2026-09-16,344.9800109863281,2026-09-15,-2.110015869140625,-0.006116342402297178,down,4273017192448.0,17.522066,23.490252,6.8647833,1.21,0.54771,0.34033,0.60897,0.48676,0.12958999,0.242,2.94,120790999040.0,18.859,2.724,2.471,0.26,0.042600002,,1.225,235.84,408.61,Alphabet Inc.,Internet Content & Information,USD,NMS,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in Google Play and YouTube; and devices, as well as the provision of YouTube consumer subscription services, such as YouTube TV, YouTube Music and Premium, NFL Sunday Ticket, and Google One. The Google Cloud segment offers consumption-based fees and subscriptions for AI solutions, including AI infrastructure, Vertex AI platform, and Gemini enterprise. It also provides cybersecurity, and data and analytics services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Calendar, Gmail, Docs, Drive, and Meet; and other enterprise services. The Other Bets segment sells transportation and internet services. Alphabet Inc. was incorporated in 1998 and is headquartered in Mountain View, California.",2026-09-14T23:06:38.655164+00:00,0.01302961582889095
Communication Services,2026-09-16,3,GOOG,Bullish,34,0.34139150474109664,2026-09-16,4354492222.278809,12831484.0,27421114705.92749,0.027149642257408457,0.8715427917481496,339.3599853515625,2026-09-16,341.42999267578125,2026-09-15,-2.07000732421875,-0.006062757720832129,down,4228010737664.0,17.34621,23.242836,6.7924786,1.2,0.54771,0.34033,0.60897,0.48676,0.12958999,0.242,2.94,120790999040.0,18.859,2.724,2.471,0.26,0.042600002,,1.225,236.685,404.47,Alphabet Inc.,Internet Content & Information,USD,NMS,"Alphabet Inc. offers various products and platforms in the United States, Europe, the Middle East, Africa, the Asia-Pacific, Canada, and Latin America. It operates through Google Services, Google Cloud, and Other Bets segments. The Google Services segment provides products and services, including ads, Android, Chrome, devices, Gmail, Google Drive, Google Maps, Google Photos, Google Play, Search, and YouTube. It is also involved in the sale of apps and in-app purchases and digital content in Google Play and YouTube; and devices, as well as the provision of YouTube consumer subscription services, such as YouTube TV, YouTube Music and Premium, NFL Sunday Ticket, and Google One. The Google Cloud segment offers consumption-based fees and subscriptions for AI solutions, including AI infrastructure, Vertex AI platform, and Gemini enterprise. It also provides cybersecurity, and data and analytics services; Google Workspace that include cloud-based communication and collaboration tools for enterprises, such as Calendar, Gmail, Docs, Drive, and Meet; and other enterprise services. The Other Bets segment sells transportation and internet services. Alphabet Inc. was incorporated in 1998 and is headquartered in Mountain View, California.",2026-09-14T23:06:38.655164+00:00,0.01207833891758936
Communication Services,2026-09-16,4,NFLX,Bullish,34,0.34139150474109664,2026-09-16,1933635296.7635193,25306049.0,9847610508.847717,0.0052624853918830095,0.6775801064014386,76.41000366210938,2026-09-16,77.9000015258789,2026-09-15,-1.4899978637695312,-0.019127058210320368,down,334447640576.0,25.25786,21.02117,11.09239,1.43,0.28219,0.33381,0.49118,0.49541,0.16084999,0.134,0.111,16654660608.0,55.236,1.142,0.917,,0.0,,1.526,65.08,124.86,"Netflix, Inc.",Entertainment,USD,NMS,"Netflix, Inc. provides entertainment services worldwide. The company offers television (TV) series, documentaries, feature films, games, and live programming across various genres and languages. It also provides members the ability to receive streaming content through a host of internet-connected devices, including TVs, digital video players, TV set-top boxes, and mobile devices. Netflix, Inc. was incorporated in 1997 and is headquartered in Los Gatos, California.",2026-09-14T23:06:38.655164+00:00,-0.02351433019668525
Communication Services,2026-09-16,5,VZ,Bullish,34,0.34139150474109664,2026-09-16,1210490679.4886398,24326582.0,4858831599.953346,-0.004202579428453479,0.8860744848679956,49.7599983215332,2026-09-16,51.45000076293945,2026-09-15,-1.69000244140625,-0.032847471649088786,down,213098430464.0,13.356771,9.714604,2.0506158,0.9,0.11643,0.22999,0.59453,0.15842,0.050479997,-0.007,-0.22,193646002176.0,184.081,0.604,0.462,5.59,0.7279,6.2,0.24,38.39,51.68,Verizon Communications Inc.,Telecom Services,USD,NYQ,"Verizon Communications Inc., through its subsidiaries, engages in the provision of communications, technology, information, and streaming products and services to consumers, businesses, and governmental entities worldwide. It operates in two segments, Verizon Consumer Group (Consumer) and Verizon Business Group (Business). The Consumer segment provides wireless services across the wireless networks in the United States under the Verizon and TracFone brands and through wholesale and other arrangements; and fixed wireless access (FWA) broadband through its wireless networks, as well as related equipment and devices, such as smartphones, tablets, smartwatches, and other wireless-enabled connected devices. The segment also offers wireline services in the Mid-Atlantic and Northeastern United States, as well as Washington D.C. through its fiber-optic network, Verizon Fios product portfolio, and a copper-based network. The Business segment provides wireless and wireline communications services and products, including FWA and wireline broadband, advanced communication services, corporate networking, security and managed network, local and long-distance voice, and network access services to deliver various IoT services and products to businesses, government customers, and wireless and wireline carriers in the United States and internationally. The company distributes its products and services through direct channels, company-operated stores, digital and omnichannel platforms, indirect agents, business solution resellers, and national retailers. The company was formerly known as Bell Atlantic Corporation and changed its name to Verizon Communications Inc. in June 2000. Verizon Communications Inc. was incorporated in 1983 and is headquartered in New York, New York.",2026-09-14T23:06:38.655164+00:00,-0.007578800812544251
Communication Services,2026-09-16,6,APP,Bullish,34,0.34139150474109664,2026-09-16,1150501568.0386963,3523094.0,7732533965.97876,0.03837962319634891,0.7823503509195315,326.55999755859375,2026-09-16,331.4599914550781,2026-09-15,-4.899993896484375,-0.014783062881809245,down,112284418048.0,25.671274,15.933801,35.4293,0.7,0.64575994,0.77678,0.88464,2.03686,0.4646,0.528,0.57,3515072000.0,111.13,4.3,4.166,,0.0,,2.488,297.5,745.61,Applovin Corporation,Advertising Agencies,USD,NMS,"AppLovin Corporation provides end-to-end artificial intelligence-powered advertising solutions for businesses in the United States and internationally. It operates through two segments, Advertising and Apps. The company offers Axon Ads Manager, a suite of marketing solutions that enables developers to automate, optimize, and manage marketing efforts; MAX, an in-app bidding technology that optimizes the value of a publisher's advertising inventory by running a real-time competitive auction; Adjust, a measurement and analytics marketing platform; and Wurl, a connected TV platform, which distributes streaming video for content companies, provides advertising and publishing solutions. It serves individuals, small and independent businesses, enterprises, advertisers and advertising networks, mobile app publishers, and indie studio developers. The company was incorporated in 2011 and is headquartered in Palo Alto, California.",2026-09-14T23:06:38.655164+00:00,0.018717244964113977
Communication Services,2026-09-16,7,DIS,Bullish,34,0.34139150474109664,2026-09-16,1081210319.2718658,10105714.0,4387137835.498062,0.011056493784912913,0.8459063894049531,106.98999786376953,2026-09-16,106.41999816894531,2026-09-15,0.5699996948242188,0.005356133289152337,up,187500920832.0,22.38969,14.521398,1.7073362,2.82,0.086990006,0.19301,0.37595,0.0801,0.048070002,0.068,-0.483,46041001984.0,39.404,0.709,0.562,1.41,0.3093,1.38,1.409,92.19,117.09,Walt Disney Company (The),Entertainment,USD,NYQ,"The Walt Disney Company operates as an entertainment company in Americas, Europe, and the Asia Pacific. It operates in three segments: Entertainment, Sports, and Experiences. The company produces and distributes film and television content under the ABC Television Network, Disney, Freeform, FX, Fox, National Geographic, and Star brand television channels, as well as ABC television stations and A+E television networks; and produces original content under the Disney Branded Television, FX Productions, Lucasfilm, Marvel, National Geographic Studios, Pixar, Searchlight Pictures, Twentieth Century Studios, 20th Television, and Walt Disney Pictures banners. It also provides direct-to-consumer streaming services through Disney+, Disney+ Hotstar, and Hulu; sports-related video streaming content through ESPN, ESPN on ABC, ESPN+ DTC, and Star; sale/licensing of film and episodic content to television and video-on-demand services; theatrical, home entertainment, and music distribution services; DVD and Blu-ray discs, electronic home video licenses, and VOD rental services; staging and licensing of live entertainment events; and post-production services. In addition, the company operates theme parks and resorts, such as Walt Disney World Resort, Disneyland Resort, Disneyland Paris, Hong Kong Disneyland Resort, Shanghai Disney Resort, Disney Cruise Line, Disney Vacation Club, National Geographic Expeditions, and Adventures by Disney, as well as Aulani, a Disney resort and spa in Hawaii. Further, it licenses its intellectual property (IP) to a third party that owns and operates Tokyo Disney Resort; licenses trade names, characters, visual, literary, and other IP for use on merchandise, published materials, and games; operates a direct-to-home satellite distribution platform; sells branded merchandise through retail, online, and wholesale businesses; and develops and publishes books, comic books, and magazines. The company was founded in 1923 and is based in Burbank, California.",2026-09-14T23:06:38.655164+00:00,0.01595290422679052
Communication Services,2026-09-16,8,T,Bullish,34,0.34139150474109664,2026-09-16,977285756.3660431,37791405.0,4995194837.379913,0.012133126518507176,0.7179409455438421,25.860000610351562,2026-09-16,26.719999313354492,2026-09-15,-0.8599987030029297,-0.032185581029304425,down,181656748032.0,8.749175,10.340443,1.6510962,1.58,0.16943,0.24786,0.59721,0.18339,0.04163,0.023,0.062,165755994112.0,129.054,0.971,0.602,4.26,0.36630002,6.16,0.431,19.89,29.79,AT&T Inc.,Telecom Services,USD,NYQ,"AT&T Inc. provides telecommunications and technology services worldwide. It operates through two segments, Communications and Latin America. The Communications segment offers wireless voice and data communications services; and sells handsets, wireless data cards, wireless computing devices, carrying cases/protective covers, and wireless chargers through its own company-owned stores, agents, and third-party retail stores. It also provides AT&T Dedicated Internet, fiber ethernet and broadband, fixed wireless, and hosted and managed professional services; and copper-based voice and data, Virtual Private Networks (VPN), wholesale, outsourcing, and IP, as well as customer premises equipment for multinational corporations, small and mid-sized businesses, governmental, and wholesale customers. In addition, this segment offers broadband services, including fiber connections, legacy telephony voice communication services, and other VoIP services and equipment to residential customers. This segment markets its communications services and products under the AT&T, AT&T Business, Cricket, AT&T PREPAID, AT&T Fiber, and AT&T Internet Air brand names. Its Latin America segment provides postpaid and prepaid wireless services in Mexico under the AT&T and Unefon brand names, as well as sells smartphones through its stores, agents and third-party retail stores. The company was formerly known as SBC Communications Inc. and changed its name to AT&T Inc. in 2005. AT&T Inc. was incorporated in 1983 and is based in Dallas, Texas.",2026-09-14T23:06:38.655164+00:00,0.007009357594886856
Communication Services,2026-09-16,9,TMUS,Bullish,34,0.34139150474109664,2026-09-16,934531548.4352112,5302006.0,3582825005.9181213,-0.005080205106509195,0.8910442691743261,176.25999450683594,2026-09-16,180.47000122070312,2026-09-15,-4.2100067138671875,-0.023328013993409474,down,196191633408.0,19.15183,12.667485,3.493925,0.64,0.11455,0.2522,0.63054,0.17994,0.05973,0.079,0.053,120427003904.0,214.035,0.924,0.585,2.24,0.4121,,0.331,165.66,244.24,"T-Mobile US, Inc.",Telecom Services,USD,NMS,"T-Mobile US, Inc., together with its subsidiaries, provides wireless communications services in the United States, Puerto Rico, and the United States Virgin Islands. The company offers voice, messaging, and data services to postpaid, prepaid, and wholesale and other services customers. It also provides wireless devices, including smartphones, wearables, tablets, home broadband gateways, headsets, and other mobile communication devices, as well as accessories; financing through equipment installment plans; reinsurance for device insurance policies and extended warranty contracts. The company offers services under the T-Mobile, Metro by T-Mobile, and Mint Mobile brands through its owned and operated retail stores, customer care channels, national retailers, and its websites, as well as through T-Mobile, Metro by T-Mobile, and Mint Mobile apps. It also sells devices to dealers and other third-party distributors for resale through independent third-party retail outlets and various third-party websites. It has 700 MHz wireless spectrum licenses. The company was founded in 1994 and is headquartered in Bellevue, Washington. T-Mobile US, Inc. operates as a subsidiary of Deutsche Telekom AG.",2026-09-14T23:06:38.655164+00:00,-0.02897757625506525
Communication Services,2026-09-16,10,CMCSA,Bullish,34,0.34139150474109664,2026-09-16,575769497.9631157,24263359.0,3182763750.4365654,-0.05721098647964895,0.9411456311617655,23.729999542236328,2026-09-16,24.420000076293945,2026-09-15,-0.6900005340576172,-0.028255550036932423,down,88290074624.0,7.974359,6.8630123,0.9829718,142.98,0.08966,0.17233999,0.6939,0.114879996,0.043080002,-0.012,-0.668,90381000704.0,100.474,0.796,0.653,5.24,0.42310002,3.03,0.662,21.28,32.86,Comcast Corporation,Telecom Services,USD,NMS,"Comcast Corporation operates as a media and technology company worldwide. The company operates through Residential Connectivity & Platforms, Business Services Connectivity, Media, Studios, and Theme Parks segments. Its Residential Connectivity & Platforms segment provides residential broadband and wireless connectivity services, residential and business video services, sky-branded entertainment television networks, and advertising. The Business Services Connectivity segment offers connectivity services for small business locations, which include broadband, wireline voice, and wireless services; and ethernet network services for medium-sized customers and larger enterprises. Its Media segment operates NBCUniversal's national and regional cable networks; the NBC and Telemundo broadcast networks and owned local broadcast television stations; and Peacock, a direct-to-consumer streaming services. The company also operates international television networks comprising the Sky Sports networks, as well as other digital properties. Its Studios segment operates NBCUniversal and Sky film and television studio production and distribution operations. The Theme Parks segment operates Universal theme parks in Orlando, Florida; Hollywood, California; Osaka, Japan; and Beijing, China. It also offers a consolidated streaming platforms under the Philadelphia Flyers and the Xfinity Mobile Arena in Philadelphia, Pennsylvania; and Xumo. Comcast Corporation was founded in 1963 and is headquartered in Philadelphia, Pennsylvania.",2026-09-14T23:06:38.655164+00:00,-0.1041902700161984
